Date,Category,Sub-category,Amount,Currency
2024-05-15,Housing,Utilities,150,AUD
2024-05-20,Food,Restaurants,75,AUD
2024-05-25,Shopping,Clothing,120,USD
2024-06-01,Housing,Rent,1350,AUD
2024-06-08,Food,Groceries,300,AUD
2024-06-14,Education,Textbooks,80,CAD
2024-06-20,Others,Transportation,100,AUD
2024-07-01,Housing,Mortgage,1400,USD
2024-07-10,Food,Takeout,50,AUD
2024-07-18,Shopping,Electronics,500,EUR
2024-07-25,Others,Healthcare,200,AUD
2024-08-05,Housing,Home Insurance,110,AUD
2024-08-12,Food,Coffee Shops,30,AUD
2024-08-20,Education,Supplies,40,AUD
2024-08-28,Shopping,Gifts,90,GBP
2024-09-01,Housing,Rent,1350,AUD
2024-09-07,Food,Groceries,280,AUD
2024-09-15,Others,Entertainment,150,AUD
2024-09-22,Education,Tuition,2100,AUD
2024-10-01,Housing,Utilities,160,AUD
2024-10-10,Food,Restaurants,95,USD
2024-10-18,Shopping,Furniture,700,AUD
2024-10-25,Others,Travel,800,CAD
2024-11-01,Housing,Mortgage,1400,USD
2024-11-08,Food,Alcohol,60,AUD
2024-11-15,Education,Courses,300,AUD
2024-11-22,Shopping,Books,45,AUD
2024-12-01,Housing,Maintenance,250,AUD
2024-12-10,Food,Groceries,320,AUD
2024-12-18,Others,Gym,50,AUD
